companyId,companyName,provider,identifier,occurrences,alreadyInManifest,existingProvider,existingId,sampleUrl
foodstuffs-north-island-limited,,LEVER,foodstuffs,2,NO,,,https://jobs.lever.co/foodstuffs/9c4ecf8d-9135-4ac8-be2e-1f6a79d8016c/apply?source=LinkedIn
netwealth-see-wealth-differently-asx-nwl,,ASHBY,netwealth,2,NO,,,https://jobs.ashbyhq.com/netwealth/3570ffad-465f-43c5-a116-082661a4ec77?utm_source=Linkedin
xpansiv,Xpansiv,LEVER,Xpansiv,1,NO,,,https://jobs.lever.co/Xpansiv%20/b1d1bac8-6301-4f91-b458-d6b4209b4272/apply?lever-source=LinkedIn
360learning,360Learning,LEVER,360learning,1,YES,LEVER,360learning,https://jobs.lever.co/360learning/d5cc31fe-002c-4966-9746-3a9f2f29db87/apply?source=LinkedIn
aircall,Aircall,LEVER,aircall,1,YES,LEVER,aircall,https://jobs.lever.co/aircall/7eec7634-230e-4f21-a0b4-0e2da7e78f7f/apply?source=LinkedIn
airwallex,Airwallex,ASHBY,airwallex,2,YES,ASHBY,airwallex,https://jobs.ashbyhq.com/airwallex/b25fabff-0118-4393-9b48-844ce4421d8e/application?utm_source=linkedin
alan,Alan,ASHBY,alan,1,YES,ASHBY,alan,https://jobs.ashbyhq.com/alan/002bae00-86bc-4de4-a60e-72c492867d70?source=xgA7zbmLWw
anduril-industries,Anduril Industries,GREENHOUSE,andurilindustries,1,YES,GREENHOUSE,andurilindustries,https://boards.greenhouse.io/andurilindustries/jobs/5073263007?gh_jid=5073263007
anybotics,ANYbotics,LEVER,anybotics,1,YES,LEVER,anybotics,https://jobs.lever.co/anybotics/35f0f784-ffff-4631-9e44-0e3fabcfad24/apply?lever-source=LinkedIn
appian,Appian,GREENHOUSE,appian,1,YES,GREENHOUSE,appian,https://job-boards.greenhouse.io/appian/jobs/7180383?gh_src=9e63858d1us
bellroy,Bellroy,GREENHOUSE,bellroy,1,YES,GREENHOUSE,bellroy,https://job-boards.greenhouse.io/bellroy/jobs/7648944?gh_src=76709aa01us
blinq,Blinq,LEVER,blinq,2,YES,LEVER,blinq,https://jobs.lever.co/blinq/a73b541e-513f-4231-9aa9-54afeeaecd65/apply?lever-source=LinkedIn&src=linkedin
breadcrumb,Breadcrumb,ASHBY,breadcrumb,2,YES,ASHBY,breadcrumb,https://jobs.ashbyhq.com/breadcrumb/0488dde0-4db0-4f2b-99b2-017efcc4572b/application?utm_source=rjpnVOp2NN&src=LinkedIn
checkbox,Checkbox,ASHBY,Checkbox Technology,1,YES,ASHBY,Checkbox Technology,https://jobs.ashbyhq.com/Checkbox%20Technology/a977e68b-bf3e-417c-9b3e-0ff060a9f78e
cin7,Cin7,LEVER,cin7,1,YES,LEVER,cin7,https://jobs.lever.co/cin7/07491896-4eba-45b3-af4f-30b6147ce4a0/apply?source=LinkedIn
clover-health,Clover Health,GREENHOUSE,cloverhealth,1,YES,GREENHOUSE,cloverhealth,https://job-boards.greenhouse.io/cloverhealth/jobs/7375817?gh_src=ecf85ead1us
codeway,Codeway,LEVER,codeway,1,YES,LEVER,codeway,https://jobs.lever.co/codeway/076f2292-2d65-4c62-9389-e56b8e323643/apply?lever-source=LinkedIn&source=LinkedIn&lever-source=LinkedInJobs&lever-source=LinkedInJobs
d-matrix,d-Matrix,ASHBY,d-Matrix,1,YES,ASHBY,d-Matrix,https://jobs.ashbyhq.com/d-Matrix/03322cae-a520-454a-9ed7-2745aaee0a1f?src=LI_Listgs
dlocal,dLocal,LEVER,dlocal,1,YES,LEVER,dlocal,https://jobs.lever.co/dlocal/8a2165a3-655f-46ac-aa6b-bc37d0fef53c/apply?lever-source=LinkedIn
enable,Enable,LEVER,enable,2,YES,LEVER,enable,https://jobs.lever.co/enable/1e2a75bd-620a-4085-9957-71e5f314e280/apply?lever-source=LinkedIn
engflow,EngFlow,ASHBY,engflow,1,YES,ASHBY,engflow,https://jobs.ashbyhq.com/engflow/58ce4c6c-8c6b-43d1-b438-989cb4dfebd7/application?utm_source=xQM8gbN489
envato,Envato,LEVER,envato-2,2,YES,LEVER,envato-2,https://jobs.lever.co/envato-2/a08d55cd-e74a-409c-a9da-911aa270fbde/apply?gh_src=1cbdaca01
eucalyptus,Eucalyptus,GREENHOUSE,eucalyptus,2,YES,GREENHOUSE,eucalyptus,https://job-boards.greenhouse.io/eucalyptus/jobs/4511332005
factor-house,Factor House,ASHBY,factorhouse,1,YES,ASHBY,factorhouse,https://jobs.ashbyhq.com/factorhouse/73bea7b3-636d-4529-8663-c0eeaefad47f/application?utm_source=qXkD3KQwrJ
fetch,Fetch,ASHBY,fetch-pet-health,1,YES,ASHBY,fetch-pet-health,https://jobs.ashbyhq.com/fetch-pet-health/e957bc51-1932-4c97-a9ac-eb1787594aec/application?utm_source=DdABJeaA2Y
freenow,Freenow,GREENHOUSE,freenow,1,YES,GREENHOUSE,freenow,https://job-boards.greenhouse.io/freenow/jobs/7682248?gh_src=0c92915e1us
genius-sports,Genius Sports,GREENHOUSE,geniussports,1,YES,GREENHOUSE,geniussports,https://boards.greenhouse.io/geniussports/jobs/7651897003?gh_jid=7651897003&gh_src=8efdd41d3us&source=LinkedIn
halter,Halter,ASHBY,halter,1,YES,ASHBY,halter,https://jobs.ashbyhq.com/halter/3d804ee6-d138-46ba-96cf-92aa3a51f560/application?utm_source=EnBGaK1GnW&src=linkedin
heidi,Heidi Health,ASHBY,heidihealth.com.au,2,YES,ASHBY,heidihealth.com.au,https://jobs.ashbyhq.com/heidihealth.com.au/25007fa7-fdd4-4e2e-ac2f-937a89a4505e?utm_source=DVxd0Ayak1
hyphen-connect,Hyphen Connect,GREENHOUSE,hyphenconnect,1,YES,GREENHOUSE,hyphenconnect,https://job-boards.greenhouse.io/hyphenconnect/jobs/5074557007
immutable,Immutable,LEVER,immutable,1,YES,LEVER,immutable,https://jobs.lever.co/immutable/81edb810-9658-4ed8-a36f-0e37c993f01d/apply?source=LinkedIn
indebted,InDebted,LEVER,indebted,1,YES,LEVER,indebted,https://jobs.lever.co/indebted/2a509181-7515-409a-8726-5d8bb3877b1e/apply?source=LinkedIn
invopop-yc-w23,Invopop (YC W23),ASHBY,invopop,1,YES,ASHBY,invopop,https://jobs.ashbyhq.com/invopop/8474e0f3-a851-44aa-adea-a8aab68086a6/application?utm_source=b82qXyn8Lk
jobgether,Jobgether,LEVER,jobgether,1,YES,LEVER,jobgether,https://jobs.lever.co/jobgether/fb316d0b-49af-46a3-b13c-ec3c525cbaf6/apply?source=LinkedIn
joko,Joko,ASHBY,joko,1,YES,ASHBY,joko,https://jobs.ashbyhq.com/joko/2f122a74-c0a5-4836-b851-d296f20626cc?src=LinkedIn
kogan-com,Kogan.com,LEVER,kogan,2,YES,LEVER,kogan,https://jobs.lever.co/kogan/1f24962f-a75a-4a19-9146-d1664933b983/apply?lever-source=LinkedIn
kpmg-new-zealand,KPMG New Zealand,LEVER,kpmgnz,1,YES,LEVER,kpmgnz,https://jobs.lever.co/kpmgnz/50ff7aa6-c4a3-43b5-87ea-a14ac2b33d95?source=LinkedIn
kraken,Kraken,LEVER,kraken123,2,YES,LEVER,kraken123,https://jobs.lever.co/kraken123/941b5dfb-b927-48c6-9560-0b88c6aa387f/apply?lever-source=LinkedIn
leonardo-ai,Leonardo.Ai,ASHBY,leonardo.ai,1,YES,ASHBY,leonardo.ai,https://jobs.ashbyhq.com/leonardo.ai/dfcd514f-85c5-402e-9c06-a9e903fbd302/application?utm_source=vNEkJaDy8w
