companyId,companyName,provider,identifier,jobCount,slugSource
1inch,1inch,ASHBY,1inch,0,manifest_id
1inch,1inch,LEVER,1inch,15,manifest_id
2degrees,2degrees,ASHBY,2degrees,0,manifest_id
3ina,3INA,ASHBY,3ina,0,manifest_id
880-productions-nz-lp,880 Productions NZ LP,ASHBY,880-productions-nz-lp,0,manifest_id
abantail,Abantail,ASHBY,abantail,0,manifest_id
abb,ABB,ASHBY,abb,0,manifest_id
abc-au,Australian Broadcasting Corporation (ABC),ASHBY,abc-au,0,manifest_id
absolute-it,Absolute IT,ASHBY,absolute-it,0,manifest_id
accenture-australia,Accenture Australia,ASHBY,accenture-australia,0,manifest_id
acci-n-contra-el-hambre,Acción contra el Hambre,ASHBY,acci-n-contra-el-hambre,0,manifest_id
acento,Acento,ASHBY,acento,0,manifest_id
acorn,Acorn,ASHBY,acorn,0,manifest_id
acquire,acQuire,ASHBY,acquire,0,manifest_id
actioglobal,ActioGlobal®,ASHBY,actioglobal,0,manifest_id
action1,Action1,ASHBY,action1,0,manifest_id
ad4-oct-gono,AD4 Octógono,ASHBY,ad4-oct-gono,0,manifest_id
aderen,Aderen,ASHBY,aderen,0,manifest_id
adp,ADP,ASHBY,adp,0,manifest_id
advance-delivery-consulting,Advance Delivery Consulting,ASHBY,advance-delivery-consulting,0,manifest_id
advanced-design-technology-pty-ltd,Advanced Design Technology Pty Ltd,ASHBY,advanced-design-technology-pty-ltd,0,manifest_id
advantive,Advantive,ASHBY,advantive,0,manifest_id
aecom,AECOM,ASHBY,aecom,0,manifest_id
aenor,AENOR,ASHBY,aenor,0,manifest_id
afiansys,Afiansys,ASHBY,afiansys,0,manifest_id
agentero,Agentero,ASHBY,agentero,0,manifest_id
agscent,Agscent,ASHBY,agscent,0,manifest_id
aha,Aha!,ASHBY,aha,0,manifest_id
aha,Aha!,GREENHOUSE,aha,1,manifest_id
airtificial,AIRTIFICIAL,ASHBY,airtificial,0,manifest_id
airtificial-intelligent-robots,Airtificial Intelligent Robots,ASHBY,airtificial-intelligent-robots,0,manifest_id
airtree,Airtree,ASHBY,airtree,0,manifest_id
airways-new-zealand,Airways New Zealand,ASHBY,airways-new-zealand,0,manifest_id
airzone-control,Airzone Control,ASHBY,airzone-control,0,manifest_id
aiven,Aiven,ASHBY,aiven,0,manifest_id
akens-nordburg,Akens\Nordburg,ASHBY,akens-nordburg,0,manifest_id
akqa,AKQA,ASHBY,akqa,0,manifest_id
akqa,AKQA,GREENHOUSE,akqa,71,manifest_id
al-n-space,Alén Space,ASHBY,al-n-space,0,manifest_id
albany-toyota,Albany Toyota,ASHBY,albany-toyota,0,manifest_id
alea,Alea,ASHBY,alea,0,manifest_id
alibaba-group,Alibaba Group,ASHBY,alibaba-group,0,manifest_id
align-talent,Align Talent,ASHBY,align-talent,0,manifest_id
alignerr,Alignerr,ASHBY,alignerr,0,manifest_id
alliance-group-limited,Alliance Group Limited,ASHBY,alliance-group-limited,0,manifest_id
alliance-instalaciones,Alliance Instalaciones y Mantenimientos,ASHBY,alliance-instalaciones,0,manifest_id
allianz-technology,Allianz Technology,ASHBY,allianz-technology,0,manifest_id
allrecruits,AllRecruits,ASHBY,allrecruits,0,manifest_id
alpaca,Alpaca,ASHBY,alpaca,0,manifest_id
alpaca,Alpaca,GREENHOUSE,alpaca,66,manifest_id
alpha-networks,Alpha Networks,ASHBY,alpha-networks,0,manifest_id
alquiler-seguro-grupo,Alquiler Seguro Grupo,ASHBY,alquiler-seguro-grupo,0,manifest_id
altech,ALTECH,ASHBY,altech,0,manifest_id
altitude,Altitude,ASHBY,altitude,0,manifest_id
altus-group,Altus Group,ASHBY,altus-group,0,manifest_id
alvac-s-a,ALVAC S.A.,ASHBY,alvac-s-a,0,manifest_id
amazon-web-services-aws,Amazon Web Services (AWS),ASHBY,amazon-web-services-aws,0,manifest_id
ambition,Ambition,ASHBY,ambition,0,manifest_id
amphora-logistics,Amphora Logistics,ASHBY,amphora-logistics,0,manifest_id
