companyId,companyName,provider,seedUrl,sampleApplyUrl
roomstay,Roomstay,ATS_CONFIG:TEAMTAILOR,roomstay-1744848774,https://roomstay-1744848774.teamtailor.com/jobs/7119923-senior-full-stack-developer-tech-lead
rwa-people,RWA People,JOBADDER,https://apply.jobadder.com/9003,https://apply.jobadder.com/9003/4417842/hvzynx4yymwufj3hsv22nga4vy?site=au1
goodweek,goodweek,JOIN,https://join.com/companies/goodweekcom,https://join.com/companies/goodweekcom/15667440-backend-software-engineer-core-ai?pid=e65242534431eadcb0c9
tripleten,TripleTen,COMEET,https://www.comeet.com/jobs/tripleten,https://www.comeet.com/jobs/tripleten/98.008/backend-developer-billing-team/40.361?coref=1.11.pCD_391B
tripleten-indonesia,TripleTen Indonesia,COMEET,https://www.comeet.com/jobs/tripleten,https://www.comeet.com/jobs/tripleten/98.008/senior-full-stack-developer/10.E5D-DA.405
tf-bank-ab-publ,TF Bank AB (publ),ATS_CONFIG:TEAMTAILOR,tfbank,https://tfbank.teamtailor.com/jobs/6976886-software-engineer
the-upskill-academy,The Upskill Academy,JOIN,https://join.com/companies/thedigitalbacomau,https://join.com/companies/thedigitalbacomau/15759916-software-engineeer-internship?pid=e65242534431eadcb0c9
tencent,Tencent,WORKDAY,https://tencent.wd1.myworkdayjobs.com/en-US,https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/New-Zealand-Auckland/Machine-Learning-Development-Engineering-Intern_R106190-1?source=10100001
thirdeye,ThirdEye,BAMBOOHR,https://jadeworld.bamboohr.com/careers,https://jadeworld.bamboohr.com/careers/352?source=aWQ9NA%3D%3D
shakers,Shakers,FACTORIAL,https://shakers.factorialhr.com,https://shakers.factorialhr.com/job_posting/fullstack-freelancer-via-shakers-235444
software-of-excellence,Software of Excellence,ATS_CONFIG:TEAMTAILOR,henryscheinone,https://henryscheinone.teamtailor.com/jobs/7326376-senior-product-designer
ausiex,AUSIEX,JOBADDER,https://apply.jobadder.com/17633,https://apply.jobadder.com/17633/838055/d3yjhopdbobehb75ngqiygaeau?site=au6
assurity-consulting,Assurity Consulting,JOBADDER,https://apply.jobadder.com/au1,https://apply.jobadder.com/au1/3364/4414418/i5lcimcqo5juzfyrrsafl7tieu
alea,Alea,ATS_CONFIG:TEAMTAILOR,alea,https://alea.teamtailor.com/jobs/7187011-expedite-software-engineer
apeirum,apeirum,JOIN,https://join.com/companies/apeirum,https://join.com/companies/apeirum/15759160-we-re-hiring-software-engineer-python-c-ai-and-rag?pid=e65242534431eadcb0c9
orion-health,Orion Health,ATS_CONFIG:WORKABLE,j,https://apply.workable.com/j/1530C6590A
henry-schein-one-asia-pacific,Henry Schein One (Asia Pacific),ATS_CONFIG:TEAMTAILOR,henryscheinone,https://henryscheinone.teamtailor.com/en-GB/jobs/7238514-senior-c-developer?utm_campaign=jobs-widget&utm_source=henryscheinone.teamtailor.com&utm_content=jobs&utm_medium=web
mattr,MATTR,BAMBOOHR,https://mattr.bamboohr.com/careers,https://mattr.bamboohr.com/careers/101
mvst,MVST,FACTORIAL,https://mvst.factorialhr.com,https://mvst.factorialhr.com/apply/full-stack-developer-senior-281267/?utm_source=linkedin&utm_medium=Limited%20listings
momentum-consulting-group,Momentum Consulting Group,JOBADDER,https://apply.jobadder.com/au1,https://apply.jobadder.com/au1/3459/4419684/aoquunaosuhujakdojfegxf2sy
magic-eden,Magic Eden,ATS_CONFIG:ASHBY,magiceden,https://jobs.ashbyhq.com/magiceden/9f640da6-31d4-42c9-ab3a-5060c55ef6c0?src=LinkedIn
mindfriend-pro,MindFriend Pro,ATS_CONFIG:WORKABLE,j,https://apply.workable.com/j/8A208C3884
jbt-marel,JBT Marel,WORKDAY,https://jbtm.wd108.myworkdayjobs.com/en-US,https://jbtm.wd108.myworkdayjobs.com/en-US/JBT_Marel_Career_Site/job/NZ\u002d\u002d-Auckland/Software-Integration-and-Technology-Specialist_19644?source=LinkedIn
voltrac,Voltrac,ATS_CONFIG:ASHBY,voltrac,https://jobs.ashbyhq.com/voltrac/5bc39958-d3fa-48be-9a73-aae53c817af9/application?utm_source=1ngq2KaGD3
voltrac,Voltrac,JOIN,https://join.com/companies/voltraceu,https://join.com/companies/voltraceu/15813439-embedded-software-engineer?pid=e65242534431eadcb0c9
xaviroca-com,xaviroca.com,ATS_CONFIG:SMARTRECRUITERS,Xavirocacom,https://jobs.smartrecruiters.com/Xavirocacom/744000112860560-programador-a
eroad,EROAD,WORKDAY,https://eroadgroup.wd3.myworkdayjobs.com/en-US,https://eroadgroup.wd3.myworkdayjobs.com/en-US/EROAD/job/Auckland-Albany-HQ-NZ/Data-Engineer_JR101171?source=LinkedIn
bryk-group,BRYK Group,JOBADDER,https://apply.jobadder.com/au6,https://apply.jobadder.com/au6/1757/834711/urvsa2hdqreejpjalaqblwwzna
breaker,Breaker,ATS_CONFIG:WORKABLE,main-sequence,https://apply.workable.com/main-sequence/j/8740B1A075/
knowmad-mood,knowmad mood,ATS_CONFIG:TEAMTAILOR,knowmadmood,https://knowmadmood.teamtailor.com/jobs/7295693-programador-java-ingles-hibrido
pinchaaqui-es,Pinchaaqui.es,ZOHO,https://pinchaaqui.zohorecruit.com/jobs/Careers,https://pinchaaqui.zohorecruit.com/jobs/Careers/341799000008360001
passporter,Passporter,ATS_CONFIG:TEAMTAILOR,passporter,https://passporter.teamtailor.com/jobs/6364401-mobile-developer
