companyId,companyName,domain,provider,identifier,jobCount,method
autoguru,AutoGuru,https://www.autoguru.com.au,TEAMTAILOR,autoguru,0,domain-slug
unir-rioja,UNIR | Universidad Internacional de La Rioja,https://www.unir.net,TEAMTAILOR,unir,0,domain-slug
momentum-consulting-group,Momentum Consulting Group,http://www.momentum.co.nz,TEAMTAILOR,momentum,0,domain-slug
ust-espa-a-latam,UST España & Latam,https://www.ust.com/es,TEAMTAILOR,ust,0,domain-slug
evotix,Evotix,https://www.evotix.com,TEAMTAILOR,evotix,0,domain-slug
employment-hero,Employment Hero,https://employmenthero.com/about-us/,TEAMTAILOR,employmenthero,0,domain-slug
airtificial-intelligent-robots,Airtificial Intelligent Robots,https://www.airtificial.com,TEAMTAILOR,airtificial,0,domain-slug
mitre-10-new-zealand-limited,Mitre 10 (New Zealand) Limited,https://www.mitre10.co.nz,TEAMTAILOR,mitre10,0,domain-slug
uve-solutions,UVE Solutions,https://uvesolutions.com,TEAMTAILOR,uvesolutions,0,domain-slug
acorn,Acorn,https://www.acorngroup.co.nz,TEAMTAILOR,acorngroup,0,domain-slug
epson-australia,Epson Australia,https://www.epson.com.au,TEAMTAILOR,epson,0,domain-slug
microsoft,Microsoft,https://news.microsoft.com/,TEAMTAILOR,news,0,domain-slug
airtificial,AIRTIFICIAL,https://www.airtificial.com,TEAMTAILOR,airtificial,0,domain-slug
epi-company,EPI Company,https://epi.group,TEAMTAILOR,epi,0,domain-slug
marks-sattin,Marks Sattin,https://www.markssattin.co.uk,TEAMTAILOR,markssattin,0,domain-slug
amazon-web-services-aws,Amazon Web Services (AWS),https://aws.amazon.com,TEAMTAILOR,aws,0,domain-slug
eftsure,Eftsure,http://www.eftsure.com,TEAMTAILOR,eftsure,0,domain-slug
isentia,Isentia,https://www.isentia.com/,TEAMTAILOR,isentia,0,domain-slug
nuix,Nuix,https://www.nuix.com,TEAMTAILOR,nuix,0,domain-slug
acci-n-contra-el-hambre,Acción contra el Hambre,https://www.accioncontraelhambre.org,TEAMTAILOR,accioncontraelhambre,0,domain-slug
wsp-in-canada,WSP in Canada,https://www.wsp.com,TEAMTAILOR,wsp,0,domain-slug
innovamat,Innovamat,https://www.innovamat.com,TEAMTAILOR,innovamat,0,domain-slug
wise-security-global,Wise Security Global,https://www.wisesecurity.io,TEAMTAILOR,wisesecurity,0,domain-slug
bcnc-group,BCNC GROUP,https://bcncgroup.com,TEAMTAILOR,bcncgroup,0,domain-slug
webbeds,WebBeds,https://www.webbeds.com,TEAMTAILOR,webbeds,0,domain-slug
abb,ABB,https://global.abb,TEAMTAILOR,global,0,domain-slug
fnac-espa-a,FNAC España,https://www.fnac.es,TEAMTAILOR,fnac,0,domain-slug
wisetech-global,Wisetech Global,https://www.wisetechglobal.com/,TEAMTAILOR,wisetechglobal,0,domain-slug
nuix-discover,Nuix,https://www.nuix.com,TEAMTAILOR,nuix,0,domain-slug
ayesa-digital,Ayesa Digital,https://www.ayesa.com,TEAMTAILOR,ayesa,0,domain-slug
idealista,Idealista,https://www.idealista.com,TEAMTAILOR,idealista,0,domain-slug
acquire,acQuire,http://www.acquire.com.au,TEAMTAILOR,acquire,0,domain-slug
energiot,Energiot,https://www.energiot.com,TEAMTAILOR,energiot,0,domain-slug
tradeweb,Tradeweb,https://www.tradeweb.com,TEAMTAILOR,tradeweb,0,domain-slug
billigence,Billigence,https://www.billigence.com,TEAMTAILOR,billigence,0,domain-slug
compass-education,Compass Education,https://www.compass.education,TEAMTAILOR,compass,0,domain-slug
netcheck,NETCheck,https://www.netcheck.es,TEAMTAILOR,netcheck,0,domain-slug
spawnpoint-media,Spawnpoint Media,https://www.spawnpointmedia.com,TEAMTAILOR,spawnpointmedia,0,domain-slug
silicon-quantum-computing,Silicon Quantum Computing,https://www.sqc.com.au,TEAMTAILOR,sqc,0,domain-slug
flowww,flowww,https://www.flowww.net,TEAMTAILOR,flowww,0,domain-slug
blackroc-recruitment,BLACKROC Recruitment,https://blackroc.co,TEAMTAILOR,blackroc,0,domain-slug
randstad-new-zealand,Randstad New Zealand,http://www.randstad.co.nz,TEAMTAILOR,randstad,0,domain-slug
sita,SITA,https://www.sita.aero,TEAMTAILOR,sita,0,domain-slug
sinch,Sinch,http://www.sinch.com,TEAMTAILOR,sinch,0,domain-slug
boon-solutions,Boon Solutions,https://www.boon.com.au,TEAMTAILOR,boon,0,domain-slug
sea-to-summit,Sea to Summit,https://www.seatosummit.com.au,TEAMTAILOR,seatosummit,0,domain-slug
